Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male,Clicked on Ad
77.95,31,62572.88,233.65,1,0
84.73,30,39840.55,153.76,0,1
39.86,36,32593.59,145.85,0,1
50.08,30,41629.86,123.91,0,1
60.23,35,43313.73,106.86,0,1
60.7,49,42993.48,110.57,1,1
43.67,53,46004.31,143.79,1,1
77.2,33,49325.48,254.05,1,0
71.86,32,51633.34,116.53,0,1
44.78,45,63363.04,137.24,1,1
78.57,36,64045.93,239.32,1,0
73.41,31,73049.3,201.26,1,0
77.05,27,66624.6,191.14,0,0
66.4,40,77567.85,214.42,0,0
69.35,29,53431.35,252.77,1,0
35.65,40,31265.75,172.58,1,1
70.04,31,74780.74,183.85,1,0
69.78,29,70410.11,218.79,0,0
58.22,29,37345.24,120.9,0,1
76.9,28,66107.84,212.67,0,0
84.08,30,62336.39,187.36,1,0
59.51,58,39132.64,140.83,0,1
40.15,38,38745.29,134.88,1,1
76.81,28,65172.22,217.85,1,0
41.89,38,68519.96,163.38,0,1
76.87,27,54774.77,235.35,1,0
67.28,43,76246.96,155.8,1,1
81.98,40,65461.92,229.22,0,0
66.01,23,34127.21,151.95,0,1
61.57,53,35253.98,125.94,1,1
53.3,34,44893.71,111.94,0,1
34.87,40,59621.02,200.23,0,1
43.6,38,20856.54,170.49,0,1
77.88,37,55353.41,254.57,0,0
75.83,27,67516.07,200.59,0,0
49.95,39,68737.75,136.59,0,1
60.94,41,76893.84,154.97,0,1
89.15,42,59886.58,171.07,0,0
78.7,30,53441.69,133.99,0,1
57.35,29,41356.31,119.84,0,1
34.86,38,49942.66,154.75,0,1
70.68,31,74430.08,199.08,0,0
76.06,23,58633.63,201.04,0,0
66.67,33,72707.87,228.03,1,0
46.77,32,31092.93,136.4,1,1
62.42,38,74445.18,143.94,0,1
78.32,28,49309.14,239.52,0,1
37.32,50,56735.14,199.25,1,1
40.42,45,40183.75,133.9,1,1
76.77,36,58348.41,123.51,0,1
65.65,30,72209.99,158.05,0,0
74.32,33,62060.11,128.17,0,1
73.27,32,67113.46,234.75,1,0
80.03,44,24030.06,150.84,0,1
53.68,47,56180.93,115.26,1,1
85.84,32,62204.93,192.85,1,0
85.03,30,60372.64,204.52,0,0
70.44,24,65280.16,178.75,1,0
81.22,53,34309.24,223.09,1,0
39.96,45,59610.81,146.13,1,1
57.05,41,50278.89,269.96,1,1
42.44,56,43450.11,168.27,0,1
62.2,25,25408.21,161.16,0,1
76.7,36,71136.49,222.25,0,0
61.22,45,63883.81,119.03,1,1
84.54,33,64902.47,204.02,1,0
46.08,30,66784.81,164.63,1,1
56.7,48,62784.85,123.13,0,1
81.03,28,63727.5,201.15,0,0
80.91,32,61608.23,231.42,0,0
40.06,38,56782.18,138.68,1,1
83.47,39,64447.77,226.11,0,0
73.84,31,42042.95,121.05,0,1
74.65,28,67669.06,212.56,0,0
60.25,35,54875.95,109.77,0,1
59.21,35,73347.67,144.62,1,1
43.02,44,50199.77,125.22,0,1
84.04,38,50723.67,244.55,0,0
70.66,43,63450.96,120.95,1,1
70.58,26,56694.12,136.94,0,1
72.44,34,70547.16,230.14,0,0
40.17,26,47391.95,171.31,1,1
79.15,26,62312.23,203.23,0,0
44.49,53,63100.13,168,1,1
73.04,37,73687.5,221.79,1,0
76.28,33,52686.47,254.34,0,0
68.88,37,78119.5,179.58,0,0
73.1,28,57014.84,242.37,0,0
47.66,29,27086.4,156.54,0,1
87.3,35,58337.18,216.87,0,0
89.34,32,50216.01,177.78,1,0
81.37,26,53049.44,156.48,1,0
81.67,28,62927.96,196.76,1,0
46.37,52,32847.53,144.27,0,1
54.88,24,32006.82,148.61,0,1
40.67,35,48913.07,133.18,0,1
71.76,35,69285.69,237.39,0,0
47.51,51,53700.57,130.41,1,1
75.15,22,52011,212.87,1,0
56.01,26,46339.25,127.26,0,1
82.87,37,67938.77,213.36,0,0
45.05,42,66348.95,141.36,0,1
60.53,24,66873.9,167.22,0,1
50.52,31,72270.88,171.62,0,1
84.71,32,61610.05,210.23,0,0
55.2,39,76560.59,159.46,1,1
81.61,33,62667.51,228.76,0,0
71.55,36,75687.46,163.99,1,0
82.4,36,66744.65,218.97,1,0
73.95,35,67714.82,238.58,0,0
72.07,31,69710.51,226.45,0,0
80.39,31,66269.49,214.74,0,0
65.8,25,60843.32,231.49,1,0
69.97,28,55041.6,250,0,0
52.62,50,73863.25,176.52,0,1
39.25,39,62378.05,152.36,0,1
77.56,38,63336.85,130.83,1,1
33.52,43,42191.61,165.56,0,1
79.81,24,56194.56,178.85,1,1
84.79,33,61771.9,214.53,0,0
82.7,35,61383.79,231.07,0,0
84.88,32,63924.82,186.48,0,0
54.92,54,23975.35,161.16,0,1
76.56,34,70179.11,221.53,1,0
69.74,49,66524.8,243.37,0,0
75.55,22,41851.38,169.4,0,1
72.19,33,61275.18,250.35,1,0
84.29,41,60638.38,232.54,0,0
73.89,39,47160.53,110.68,0,1
75.84,21,48537.18,186.98,0,0
73.38,25,53058.91,236.19,1,0
80.72,31,68614.98,186.37,0,0
62.06,44,44174.25,105,0,1
51.5,34,67050.16,135.31,0,1
90.97,37,54520.14,180.77,0,0
86.78,30,54952.42,170.13,1,0
66.18,35,69476.42,243.61,0,0
84.33,41,54989.93,240.95,0,0
36.87,36,29398.61,195.91,0,1
34.78,48,42861.42,208.21,1,1
76.84,32,65883.39,231.59,0,0
67.05,25,65421.39,220.92,0,0
41.47,31,60953.93,219.79,0,1
80.71,26,58476.57,200.58,0,0
80.09,31,66636.84,214.08,0,0
56.3,49,67430.96,135.24,1,1
79.36,34,57260.41,245.78,1,0
86.38,40,66359.32,188.27,1,0
38.94,41,57587,142.67,1,1
87.26,35,63060.55,184.03,0,0
75.32,28,59998.5,233.6,1,0
74.38,40,74024.61,220.05,1,0
65.9,22,60550.66,211.39,0,0
36.31,47,57983.3,168.92,0,1
72.23,48,52736.33,115.35,0,1
88.12,38,46653.75,230.91,0,0
83.97,28,56986.73,205.5,1,0
61.09,26,55336.18,131.68,1,1
65.77,21,42162.9,218.61,1,0
81.58,25,39699.13,199.39,0,0
37.87,52,56394.82,188.56,1,1
76.2,37,75044.35,178.51,0,0
60.91,19,53309.61,184.94,0,1
74.49,28,58996.12,237.34,0,0
73.71,23,56605.12,211.38,1,0
78.19,30,62475.99,228.81,0,0
79.54,44,70492.6,217.68,1,0
74.87,52,43698.53,126.97,0,1
87.09,36,57737.51,221.98,1,0
37.45,47,31281.01,167.86,0,1
49.84,39,45800.48,111.59,0,1
51.38,59,42362.49,158.56,0,1
83.4,34,66691.23,207.87,0,0
38.91,33,56369.74,150.8,1,1
62.14,41,59397.89,110.93,1,1
79.72,28,66025.11,193.8,1,0
73.3,36,68211.35,135.72,1,1
69.11,42,73608.99,231.48,1,0
71.9,54,61228.96,140.15,1,1
72.45,29,72325.91,195.36,1,0
77.07,40,44559.43,261.02,0,0
74.62,36,73207.15,217.79,0,0
82.07,25,46722.07,205.38,1,0
58.6,50,45400.5,113.7,0,1
36.08,45,41417.27,151.47,1,1
79.44,26,60845.55,206.79,0,0
41.73,47,60812.77,144.71,0,1
73.19,25,64267.88,203.74,1,0
77.6,24,58151.87,197.33,1,0
89,37,52079.18,222.26,1,0
69.2,42,26023.99,123.8,0,1
67.56,31,62318.38,125.45,0,1
81.11,39,56216.57,248.19,1,0
80.22,30,61806.31,224.58,0,0
43.63,41,51662.24,123.25,1,1
77.66,29,67080.94,168.15,0,0
74.63,26,51975.41,235.99,1,0
49.67,27,28019.09,153.69,0,1
80.59,37,67744.56,224.23,0,0
83.49,33,66574,190.75,1,0
44.46,42,30487.48,132.66,1,1
68.1,40,74903.41,227.73,1,0
63.88,38,19991.72,136.85,0,1
78.83,36,66050.63,234.64,1,0
79.97,44,70449.04,216,0,0
80.51,28,64008.55,200.28,1,0
62.26,26,70203.74,202.77,0,0
66.99,47,27262.51,124.44,1,1
71.05,20,49544.41,204.22,1,0
42.05,51,28357.27,174.55,1,1
50.52,28,66929.03,219.69,0,1
76.24,40,75524.78,198.32,1,0
77.29,27,66265.34,201.24,1,0
35.98,47,55993.68,165.52,1,1
84.95,34,56379.3,230.36,0,0
39.34,43,31215.88,148.93,0,1
87.23,29,51015.11,202.12,0,0
57.24,52,46473.14,117.35,1,1
81.58,41,55479.62,248.16,0,0
56.34,50,68713.7,139.02,1,1
48.73,27,34191.23,142.04,0,1
51.68,49,51067.54,258.62,0,1
35.34,45,46693.76,152.86,0,1
48.09,33,19345.36,180.42,0,1
78.68,29,66225.72,208.05,0,0
68.82,20,38609.2,205.64,1,0
56.99,40,37713.23,108.15,0,1
86.63,39,63764.28,209.64,1,0
41.18,43,41866.55,129.25,1,1
71.03,32,57846.68,120.85,0,1
72.92,29,69428.73,217.1,1,0
77.14,24,60283.98,184.88,1,0
60.7,43,79332.33,192.6,1,0
34.3,41,53167.68,160.74,1,1
83.71,45,64564.07,220.48,1,0
53.38,35,60803.37,120.06,1,1
58.03,31,28387.42,129.33,0,1
43.59,36,58849.77,132.31,1,1
60.07,42,65963.37,120.75,1,1
54.43,37,75180.2,154.74,1,1
81.99,33,61270.14,230.9,0,0
60.53,29,56759.48,123.28,0,1
84.69,31,46160.63,231.85,1,0
88.72,32,43870.51,211.87,1,0
88.89,35,50439.49,218.8,1,0
69.58,43,28028.74,255.07,0,1
85.23,36,64238.71,212.92,1,0
83.55,39,65816.38,221.18,1,0
56.66,42,72684.44,139.42,0,1
56.39,27,38817.4,248.12,1,0
76.24,27,63976.44,214.42,0,0
57.64,36,37212.54,110.25,1,1
78.18,23,52691.79,167.67,0,0
46.04,32,65499.93,147.92,0,1
79.4,35,63966.72,236.87,0,0
36.44,39,52400.88,147.64,1,1
53.14,38,49111.47,109,1,1
32.84,40,41232.89,171.72,0,1
73.72,32,52140.04,256.4,1,0
38.1,34,60641.09,214.38,1,1
73.93,44,74180.05,218.22,0,0
51.87,50,51869.87,119.65,0,1
77.69,22,48852.58,169.88,1,0
43.41,28,59144.02,160.73,0,1
55.92,24,33951.63,145.08,0,1
80.67,34,58909.36,239.76,0,0
83.42,25,49850.52,183.42,1,0
82.12,52,28679.93,201.15,1,1
66.17,33,69869.66,238.45,0,0
43.01,35,48347.64,127.37,0,1
80.05,25,45959.86,219.94,1,0
64.88,42,70005.51,129.8,1,1
79.82,26,51512.66,223.28,1,0
48.03,40,25598.75,134.6,1,1
32.99,45,49282.87,177.46,0,1
74.88,27,67240.25,175.17,1,0
36.49,52,42136.33,196.61,1,1
88.04,45,62589.84,191.17,1,0
45.7,33,67384.31,151.12,1,1
82.38,35,25603.93,159.6,0,1
52.68,23,39616,149.2,1,1
65.59,47,28265.81,121.81,0,1
65.65,25,63879.72,224.92,1,0
43.84,36,70592.81,167.42,0,1
67.69,37,76408.19,216.57,0,0
78.37,24,55015.08,207.27,0,0
81.46,29,51636.12,231.54,0,0
47.48,31,29359.2,141.34,0,1
75.15,33,71296.67,219.49,1,0
78.76,24,46422.76,219.98,1,0
44.96,50,52802,132.71,1,1
39.56,41,59243.46,143.13,1,1
39.76,28,35350.55,196.83,1,1
57.11,22,59677.64,207.17,1,0
83.26,40,70225.6,187.76,1,0
69.42,25,65791.17,213.38,0,0
50.6,30,34191.13,129.88,1,1
46.2,37,51315.38,119.3,0,1
66.88,35,62790.96,119.47,1,1
83.97,40,66291.67,158.42,1,0
76.56,30,68030.18,213.75,0,0
35.49,48,43974.49,159.77,0,1
80.29,31,49457.48,244.87,1,0
50.19,40,33987.27,117.3,0,1
59.12,33,28210.03,124.54,0,1
59.88,30,75535.14,193.63,1,0
59.7,28,49158.5,120.25,0,1
67.8,30,39809.69,117.75,1,1
81.59,35,65826.53,223.16,0,0
81.1,29,61172.07,216.49,1,0
41.7,39,42898.21,126.95,0,1
73.94,27,68333.01,173.49,0,0
58.35,37,70232.95,132.63,0,1
51.56,46,63102.19,124.85,0,1
79.81,37,51847.26,253.17,0,0
66.17,26,63580.22,228.7,0,0
58.21,37,47575.44,105.94,0,1
66.12,49,39031.89,113.8,0,1
80.47,42,70505.06,215.18,1,0
77.05,31,62161.26,236.64,0,0
49.99,41,61068.26,121.07,0,1
80.3,58,49090.51,173.43,0,1
79.36,33,62330.75,234.72,1,0
57.86,30,18819.34,166.86,0,1
70.29,26,62053.37,231.37,1,0
84.53,33,61922.06,215.18,1,0
59.13,44,49525.37,106.04,1,1
81.51,41,53412.32,250.03,0,0
42.94,37,56681.65,130.4,1,1
84.81,32,43299.63,233.93,1,0
82.79,34,47997.75,132.08,0,1
59.22,55,39131.53,126.39,1,1
35,40,46033.73,151.25,1,1
46.61,42,65856.74,136.18,0,1
63.26,29,54787.37,120.46,1,1
79.16,32,69562.46,202.9,1,0
67.94,43,68447.17,128.16,0,1
79.91,32,62772.42,230.18,1,0
66.14,41,78092.95,165.27,0,0
43.65,39,63649.04,138.87,0,1
59.61,21,60637.62,198.45,1,0
46.61,52,27241.11,156.99,0,1
89.37,34,42760.22,162.03,1,0
65.1,49,59457.52,118.1,1,1
53.44,42,42907.89,108.17,1,1
79.53,51,46132.18,244.91,0,0
91.43,39,46964.11,209.91,1,0
73.57,30,70377.23,212.38,0,0
78.76,32,70012.83,208.02,1,0
76.49,23,56457.01,181.11,0,0
61.72,26,67279.06,218.49,0,0
84.53,35,54773.99,236.29,0,0
72.03,34,70783.94,230.95,1,0
77.47,36,70510.59,222.91,1,0
75.65,39,64021.55,247.9,1,0
78.15,33,72042.85,194.37,0,0
63.8,38,36037.33,108.7,1,1
76.59,29,67526.92,211.64,0,0
42.6,55,55121.65,168.29,0,1
78.77,28,63497.62,211.83,0,0
83.4,39,60879.48,235.01,0,0
79.53,33,61467.33,236.72,0,0
73.89,35,70495.64,229.99,1,0
75.8,36,71222.4,224.9,0,0
81.95,31,64698.58,208.76,1,0
56.39,58,32252.38,154.23,0,1
44.73,35,55316.97,127.56,1,1
38.35,33,47447.89,145.48,1,1
72.53,37,73474.82,223.93,0,0
56.2,49,53549.94,114.85,1,1
79.67,28,58576.12,226.79,0,0
75.42,26,63373.7,164.25,1,0
78.64,31,60283.47,235.28,1,0
67.69,44,37345.34,109.22,0,1
38.35,41,34886.01,144.69,1,1
59.52,44,67511.86,251.08,1,0
62.26,37,77988.71,166.19,0,0
64.75,36,63001.03,117.66,0,1
79.97,26,61747.98,185.45,1,0
47.9,42,48467.68,114.53,0,1
80.38,30,55130.96,238.06,0,0
64.51,42,79484.8,190.71,1,0
71.28,37,67307.43,246.72,1,0
50.32,40,27964.6,125.65,0,1
72.76,33,66431.87,240.63,1,0
72.8,35,63551.67,249.54,0,0
74.59,23,40135.06,158.35,1,1
46.66,45,49101.67,118.16,0,1
48.86,54,53188.69,134.46,0,1
37.05,39,49742.83,142.81,1,1
81.21,36,63394.41,233.04,0,0
66.89,23,64433.99,208.24,1,0
68.11,38,73884.48,231.21,0,0
69.15,46,36424.94,112.72,0,1
65.72,36,28275.48,120.12,0,1
40.04,27,48098.86,161.58,0,1
68.6,33,68448.94,135.08,0,1
56.16,25,66429.84,164.25,1,1
78.6,46,41768.13,254.59,1,0
78.29,38,57844.96,252.07,0,0
43.83,45,35684.82,129.01,0,1
77.31,32,62792.43,238.1,0,0
39.86,28,51171.23,161.24,0,1
66.77,25,58847.07,141.13,0,1
57.2,42,57739.03,110.66,0,1
73.15,25,64631.22,211.12,1,0
82.07,24,50337.93,193.97,0,0
49.84,38,67781.31,135.24,1,1
43.97,36,68863.95,156.97,1,1
77.25,27,55901.12,231.38,1,0
74.84,37,64775.1,246.44,1,0
83.53,36,67686.16,204.56,0,0
38.63,48,57777.11,222.11,0,1
84,48,46868.53,136.21,1,1
52.13,50,40926.93,118.27,1,1
71.83,40,22205.74,135.48,1,1
78.36,24,58920.44,196.77,1,0
50.18,35,63006.14,127.82,1,1
64.67,51,24316.61,138.35,1,1
69.5,26,68348.99,203.84,0,0
65.22,30,66263.37,240.09,1,0
62.06,40,63493.6,116.27,1,1
84.29,30,56984.09,160.33,1,1
32.91,37,51691.55,181.02,0,1
39.5,31,49911.25,148.19,1,1
75.19,31,33502.57,245.76,1,0
76.21,31,65834.97,228.94,1,0
67.76,31,66176.97,242.59,0,0
40.01,53,51463.17,161.77,0,1
52.7,41,41059.64,109.34,1,1
68.41,38,61428.18,259.76,0,0
35.55,39,51593.46,151.18,0,1
74.54,24,57518.73,219.75,0,0
81.75,24,52656.13,190.08,1,0
87.85,31,52178.98,210.27,1,0
60.23,60,46239.14,151.54,1,1
87.97,35,48918.55,149.25,1,0
78.17,27,65227.79,192.27,1,0
67.91,23,55002.05,146.8,1,1
85.77,27,52261.73,191.78,1,0
41.16,49,59448.44,150.83,1,1
53.54,39,47314.45,108.03,0,1
73.94,26,55411.06,236.15,1,0
63.43,29,66504.16,236.75,1,0
84.59,36,47169.14,241.8,1,0
70.13,31,70889.68,224.98,0,0
40.19,37,55358.88,136.99,0,1
58.95,55,56242.7,131.29,1,1
35.76,51,45522.44,195.07,0,1
59.36,49,46931.03,110.84,0,1
91.1,40,55499.69,198.13,1,0
61.04,41,75805.12,149.21,0,1
74.06,23,40345.49,225.99,0,0
64.63,45,15598.29,158.8,1,1
81.29,28,33239.2,219.72,0,0
76.07,36,68033.54,235.56,0,0
75.92,22,38427.66,182.65,0,0
78.35,46,53185.34,253.48,0,0
46.14,28,39723.97,137.97,1,1
44.33,41,43386.07,120.63,0,1
46.43,28,53922.43,137.2,1,1
66.04,27,71881.84,199.76,0,0
84.31,29,47139.21,225.87,0,0
83.66,38,68877.02,175.14,0,0
81.25,33,65186.58,222.35,1,0
85.26,32,55424.24,224.07,1,0
86.53,46,46500.11,233.36,0,0
76.44,26,58820.16,224.2,1,0
52.84,43,28495.21,122.31,0,1
85.24,31,61840.26,182.84,1,0
74.71,46,37908.29,258.06,1,0
82.95,39,69805.7,201.29,0,0
76.42,26,60315.19,223.16,1,0
42.04,49,67323,182.11,0,1
46.28,26,50055.33,228.78,1,1
48.26,50,43573.66,122.45,1,1
71.03,55,28186.65,150.77,0,1
81.37,33,66412.04,215.04,0,0
58.05,32,15879.1,195.54,1,1
75,29,63965.16,230.36,1,0
79.61,31,58342.63,235.97,0,0
52.56,31,33147.19,250.36,1,1
62.18,33,65899.68,126.44,0,1
77.89,26,64188.5,201.54,0,0
66.08,61,58966.22,184.23,1,1
89.21,33,44078.24,210.53,0,0
49.96,55,60968.62,151.94,1,1
77.44,28,65620.25,210.39,0,0
82.58,38,65496.78,225.23,1,0
39.36,29,52462.04,161.79,1,1
47.23,38,70582.55,149.8,1,1
87.85,34,51816.27,153.01,0,0
65.57,46,23410.75,130.86,0,1
78.01,26,62729.4,200.71,1,0
44.15,28,48867.67,141.96,1,1
43.57,36,50971.73,125.2,1,1
76.83,28,67990.84,192.81,0,0
42.06,34,43241.19,131.55,0,1
76.27,27,60082.66,226.69,1,0
74.27,37,65180.97,247.05,1,0
73.27,28,67301.39,216.24,1,0
74.58,36,70701.31,230.52,0,0
77.5,28,60997.84,225.34,1,0
87.16,33,60805.93,197.15,0,0
87.16,37,50711.68,231.95,1,0
66.26,47,14548.06,179.04,1,1
65.15,29,41335.84,117.3,0,1
68.25,33,76480.16,198.86,1,0
73.49,38,67132.46,244.23,0,0
39.19,54,52581.16,173.05,0,1
80.15,25,55195.61,214.49,0,0
86.76,28,48679.54,189.91,0,0
73.88,29,63109.74,233.61,0,0
58.6,19,44490.09,197.93,1,0
69.77,54,57667.99,132.27,0,1
87.27,30,51824.01,204.27,1,1
77.65,28,66198.66,208.01,0,0
76.02,40,73174.19,219.55,0,0
78.84,26,56593.8,217.66,1,0
71.33,23,31072.44,169.4,0,1
81.9,41,66773.83,225.47,0,0
46.89,48,72553.94,176.78,1,1
77.8,57,43708.88,152.94,0,1
45.44,43,48453.55,119.27,0,1
69.96,31,73413.87,214.06,1,0
87.35,35,58114.3,158.29,1,0
49.42,53,45465.25,128,1,1
71.27,21,50147.72,216.03,1,0
49.19,38,61004.51,123.08,0,1
39.96,35,53898.89,138.52,1,1
85.01,29,59797.64,192.5,0,0
68.95,51,74623.27,185.85,1,0
67.59,45,58677.69,113.69,0,1
75.71,34,62109.8,246.06,0,0
43.07,36,60583.02,137.63,1,1
39.47,43,65576.05,163.48,1,1
48.22,40,73882.91,214.33,0,0
76.76,25,50468.36,230.77,1,0
78.74,27,51409.45,234.75,0,0
67.47,24,60514.05,225.05,1,0
81.17,30,57195.96,231.91,1,0
89.66,34,52802.58,171.23,1,0
79.6,28,56570.06,227.37,1,0
65.53,19,51049.47,190.17,1,0
61.87,35,66629.61,250.2,1,0
83.16,41,70185.06,194.95,0,0
44.11,41,43111.41,121.24,1,1
56.57,26,56435.6,131.98,0,1
